text,bad/good
"If your protest is genuine, why would you hide your face: JNU VC Jagadesh Kumar",0
"Congress, BJP trade barbs over Davinder, Pulwama",0
"Jammu and Kashmir: DySP Davinder Singh didn’t get gallantry medal from MHA, says police",0
"Six sets of dates, February to September, on table for Trump’s visit to India",0
Punjab to fill 3186 posts in government schools,0
BJP condemns provocative remarks but says: Protesters trigger such reactions,0
Mayawati changes BSP’s Lok Sabha leader for fourth time in eight months,0
Muslim population up as they got special rights: Yogi Adityanath,0
"At Raisina Dialogue, world leaders discuss climate change, tech",0
"Amid reports that CID may be moved out of Home, Anil Vij questions ‘intention’",0
President Kovind will present RNG Awards on Jan 20,0
Himachal Pradesh sets world record by preparing largest serving of khichdi,0
"Commissionerate: New police system in Ghaziabad, Varanasi, Kanpur likely",0
"At govt hospital, Akhilesh Yadav tells doc to ‘get out’, calls him ‘RSS man’",0
"Ashwani Sharma tipped to return as Punjab BJP chief, nomination on Jan 16",0
JNU is a muftkhoron ka adda… its name should be changed: Satpal Singh Satti,0
Jalandhar: Army deserter who stoles rifles from Panchmarhi escapes from hospital,0
"Broadband services back in J&K institutions, call on lifting curbs for public after Jan 26",0
All MLAs will get chance to speak before budget presentation: Manohar Lal Khattar,0
"Sanjay Raut: Shiv Sena out of NDA, with UPA on key national issues",0
Gave complaint for FIR against cops: AMU V-C; police deny receiving it,0
DMK: Skipped anti-CAA meet over Tamil Nadu Congress chief’s remarks,0
Infighting in Punjab Congress: Ministers call for action against Bajwa for remarks against Amarinder Singh,0
"In Chhattisgarh, app to connect trained candidates with jobs",0
Dantewada: Maoists kill brother of rebel who became cop,0
"RBI curbs on Bengaluru co-operative bank: Bank officials, politicians reassure worried depositors",0
"In first challenge to NIA Act, Chhattisgarh moves Supreme Court: ‘Violative of Constitution’",0
Dilip Ghosh’s latest: West Bengal is now hub of anti-nationals,0
"Mani Shankar Aiyar at Shaheen Bagh: ‘Ab dekhein ki kiska haath mazboot hai, hamara ya uss qaatil ka’",0
"Criticised for meeting Modi: We show courtesy even to enemies, says Mamata Banerjee",0
"Five Armymen, BSF constable among 12 killed in multiple avalanches in J&K",0
"Uttar Pradesh: ‘Dragged out’ of labour room by stray dog, newborn dies",0
Army Day 2020 highlight: PM salutes their valour; chief Naravane says ready for any future warfare,0
"Atmosphere of fear, tension in country; BJP, Congress indulged in dirty politics: Mayawati",0
"Dec 16 Delhi gangrape: Curative pleas rejected, one convict files mercy plea",0
Will be lenient if students join proctor inquiry: JNU V-C,0
"India, China must find equilibrium in ties: Jaishankar at Raisina Dialogue",0
Accused in Tamil Nadu cop’s murder case arrested  in Karnataka,0
Kerala state Lottery Today Results announced: First Prize worth is Rs 60 lakh!,0
Punjab government to bring resolution against CAA-NRC in Assembly,0
Cases start falling in Muzaffarnagar: 19 of 107 freed after police say no evidence,0
"Justice Ranjit moves Supreme Court, notices issued to Sukhbir, Majithia",0
Maharashtra: AAP welcomes state govt decision to implement Delhi education model,0
"Muzaffarpur shelter home case: Accused claims witnesses unreliable, misled court",0
AgustaWestland chopper scam: Delhi HC dismisses ED plea against bail to Ratul Puri,0
"Snowfall brings Valley to halt: highways blocked, power, water supply affected",0
India’s annual electricity demand grows at slowest pace in 6 years,0
Private plantation scheme shot down by SC panel back on Govt table,0
"Flying objects existed during Ramayana days, Arjun’s arrow had nuclear power: West Bengal governor",0
CAA violates basic structure: Kerala is first state to move SC against new law,0
Fallout intensifies as DMK dares Congress to quit alliance,0
Top news today evening: Union ministers to visit J&K; Chandrashekhar Azad gets bail; and more,0
Alok Singh joins as first police commissioner of Noida,0
"1984 anti-Sikh riots: Accepted SIT recommendations, will take action, Centre tells SC",0
Vadodara: 2 dead while flying kites on Uttarayan,0
"Got ‘safe passage’ offer to India for Article 370 backing, claims Zakir Naik; Digvijaya seeks PM’s reply",0
‘Stay out of Delhi for a month’: Court grants bail to Bhim Army chief Chandrashekhar Azad,0
Open to probe Davinder Singh’s role in 2001 Parliament attack case: J&K DGP,0
Kerala church says Christian women lured into IS trap through ‘Love Jihad’,0
West Bengal not to take part in NPR meeting on Jan 17: Mamata Banerjee,0
India can play a role in de-escalating tensions in Gulf: Iran’s foreign minister,0
PM Modi hails professionalism of Army after it escorts pregnant woman to hospital in valley,0
"J-K: Hizbul militant, linked to BJP leader’s murder, killed in encounter",0
Detained Omar Abdullah to be shifted from Hari Nivas,0
Scrapping Article 370 historic: Army Chief,0
"Mayawati to BJP: Scrap CAA, enact new law with consent of all",0
"Amid US-Iran tensions, PM Modi tells Javed Zarif: India has strong interest in peace, stability in region",0
"2012 gangrape case: Convicts can’t be hanged on Jan 22 as mercy plea pending before President, Delhi govt tells HC",0
Unnao rape case: EX-BJP MLA Kuldeep Sengar moves Delhi HC against life sentence,0
Terrorists using encrypted mobile communications to reactivate cadre in Kashmir: Govt,0
"CAA violence: 21 held, damages worth Rs 88 crore to be recovered from them, says Railway force",0
